person,company,ticker,role,tenure_start,leadership_score,trajectory_score,why_watch
Robert E Claypoole,BVS,BVS,CEO,2024-04-20,0.9967089661427001,0.010981275862461113,"P(success)=1.00. Signals: pre_3m_return ↑ (val=0.141), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Mariam Sorond,NN,NN,CEO,2024-04-20,0.9938005082325334,0.009760526931211074,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.127), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
James Caldwell Flores,SOC,SOC,CEO,2024-04-20,0.9937165158342973,0.00973454218652386,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.127), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Anhco Nguyen,ATRA,ATRA,CEO,2024-04-20,0.9903290949843948,0.008900587218585608,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.118), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Michael C Creedon Jr,DLTR,DLTR,CEO,2024-04-20,0.9898819151640292,0.008812983758897629,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.117), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Stephen C Farrell,STAA,STAA,CEO,2024-04-20,0.9897720238929644,0.008792042696690152,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.116), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Li Wai Chung,FIEE,FIEE,CEO,2024-04-20,0.9851694786191174,0.008070130102256672,"P(success)=0.99. Signals: pre_3m_return ↑ (val=0.109), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Kevin Smith,INGN,INGN,CEO,2024-04-20,0.9781537852211863,0.007313168571338646,"P(success)=0.98. Signals: pre_3m_return ↑ (val=0.100), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Edward N Pick,MS,MS,CEO,2024-04-20,0.9740262139036886,0.006972977976804878,"P(success)=0.97. Signals: pre_3m_return ↑ (val=0.096), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Robert C Flexon,UGI,UGI,CEO,2024-04-20,0.9734984579785473,0.006933340117147787,"P(success)=0.97. Signals: pre_3m_return ↑ (val=0.096), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Aaron M Schapper,MYE,MYE,CEO,2024-04-20,0.9721022238316064,0.006832064513859937,"P(success)=0.97. Signals: pre_3m_return ↑ (val=0.095), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
William I Jacobs,GDOT,GDOT,CEO,2024-04-20,0.9518349264923193,0.005743776419370673,"P(success)=0.95. Signals: pre_3m_return ↑ (val=0.083), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Paul Taylor Edmondson,AREN,AREN,CEO,2024-04-20,0.9457377112217572,0.005502727259944436,"P(success)=0.95. Signals: pre_3m_return ↑ (val=0.080), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Philip G Brace,SWKS,SWKS,CEO,2024-04-20,0.9316236753128742,0.00503024225032074,"P(success)=0.93. Signals: pre_3m_return ↑ (val=0.075), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Patrick James Venetucci,IZEA,IZEA,CEO,2024-04-20,0.9119750866537983,0.004504651040875622,"P(success)=0.91. Signals: pre_3m_return ↑ (val=0.069), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Jacob Dewitte,OKLO,OKLO,CEO,2024-04-20,0.8823394799479852,0.003884441513468465,"P(success)=0.88. Signals: pre_3m_return ↑ (val=0.062), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Margaret Tooth,TRUP,TRUP,CEO,2024-04-20,0.8794165995249142,0.0038309895535250786,"P(success)=0.88. Signals: pre_3m_return ↑ (val=0.062), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Nicole A Kivisto,MDU,MDU,CEO,2024-04-20,0.8793148121161741,0.0038291483799759653,"P(success)=0.88. Signals: pre_3m_return ↑ (val=0.062), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Jason Long,LB,LB,CEO,2024-04-20,0.8608638005900683,0.003515465230987028,"P(success)=0.86. Signals: pre_3m_return ↑ (val=0.058), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Scott Strazik,GEV,GEV,CEO,2024-04-20,0.8589484141115588,0.003484955879113612,"P(success)=0.86. Signals: pre_3m_return ↑ (val=0.058), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Stephen L Silvestro,OPRX,OPRX,CEO,2024-04-20,0.8586018486728283,0.003479472658021229,"P(success)=0.86. Signals: pre_3m_return ↑ (val=0.058), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Gary G Smalley,TPC,TPC,CEO,2024-04-20,0.8371552937873193,0.0031599591150879318,"P(success)=0.84. Signals: pre_3m_return ↑ (val=0.054), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Nicholas J Randall,RAIL,RAIL,CEO,2024-04-20,0.8307414562124088,0.0030710754383814656,"P(success)=0.83. Signals: pre_3m_return ↑ (val=0.054), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Franco Fogliato,FOSL,FOSL,CEO,2024-04-20,0.795282687698774,0.0026224029759378278,"P(success)=0.80. Signals: pre_3m_return ↑ (val=0.049), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
Yehoshua Nir,SEDG,SEDG,CEO,2024-04-20,0.7881847002371893,0.0025397969105364804,"P(success)=0.79. Signals: pre_3m_return ↑ (val=0.048), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Sector=Unknown."
